EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype,user
4776,0,Info,2489868894,"1471964958.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489869379,"1471964992.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489871083,"1471965089.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489873450,"1471965211.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004252453,"1471966930.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,2489912238,"1471967191.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2489912230,"1471967191.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2489912425,"1471967204.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489917353,"1471967453.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004258595,"1471967613.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2489943927,"1471968810.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69742048,"1471968979.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2489947489,"1471968996.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2489948811,"1471969068.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004274656,"1471969413.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2489956192,"1471969454.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489966847,"1471969973.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489969321,"1471970090.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489971207,"1471970186.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2489981531,"1471970692.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2489981513,"1471970692.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2489987090,"1471970930.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2489998887,"1471971468.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,241507630,"1471971631.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490021363,"1471971732.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490051534,"1471972325.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004313483,"1471973025.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2490078339,"1471973581.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,118774734,"1471973714.000","anon_ComputerName_12","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490082622,"1471973772.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2490119501,"1471975389.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1004334901,"1471975600.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2490124893,"1471975662.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4648,0,Info,2490130500,"1471975955.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490134935,"1471976166.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490141464,"1471976389.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490143535,"1471976431.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490149445,"1471976662.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490153272,"1471976777.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490155284,"1471976854.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490157975,"1471976966.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2490159045,"1471977014.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
