"_time",accountId,awsRegion,eventName,sourcetype,"src_ip",user,userAgent
"1516521200.000",514845874400,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516521224.000",276677058000,"us-east-1",GetCallerIdentity,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516521260.000",786044152400,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516521260.000",808311279600,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516521320.000",393339825600,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516521320.000",704056845200,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516521379.000",242629184400,"eu-west-1",ListAssessmentRuns,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516521379.000",433844532400,"eu-west-1",ListFindings,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516521380.000",234642778400,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516521380.000",106197600400,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516521440.000",611125026400,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516521440.000",509955254800,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
