vendor_action_id,vendor_action_description,action,object_category,object,change_type,object_attrs,status
20146,DISTRIBUTE_SOFT_TOKEN_CTKIP,read,policy,,AAA,,
20011,AM_CLEAR_TOKEN_PIN,modified,policy,,AAA,,
20131,ENABLED_EA_FIXED_TOKENCODE,modified,policy,,AAA,,
20135,GENERATED_EA_FIXED_TOKENCODE,modified,policy,,AAA,,
20136,GENERATED_EA_ONE_TIME_TOKENCODE,modified,policy,,AAA,,
30007,UCM_TOKEN_PIN_CHANGE,modified,policy,,AAA,,
10003,UPDATE_REALM,modified,policy,,AAA,,
10298,UPDATE_SECURITY_DOMAIN_MAPPINGS,modified,policy,,AAA,,
10011,UPDATE_IDENTITY_SOURCE,modified,policy,,AAA,,
16348,OC_UPDATE_IDENTITY_SOURCE,modified,system,identity source,AAA,,
16346,OC_CREATE_IDENTITY_SOURCE,created,system,identity source,AAA,,
10009,CREATE_IDENTITY_SOURCE,created,policy,,AAA,,
16154,CONF_METADATA_INSTALLED,modified,system,configuration metadata,AAA,,
16347,OC_DELETE_IDENTITY_SOURCE,deleted,system,identity source,AAA,,
10010,DELETE_IDENTITY_SOURCE,deleted,policy,,AAA,,
16155,CONF_METADATA_REMOVED,modified,system,configuration metadata,AAA,,
10255,BATCH_JOB_CLEANUP_UNRESOLVED_USERS_GROUPS_END,stopped,batch job,BATCH_JOB,AAA,,
10050,REMOVE_ORPHANED_GROUPS,started,policy,,AAA,,
10253,CLEANUP_UNRESOLVED_USERS_IS_UNSPECIFIED_END,cleared,user,users,AAA,,
10252,CLEANUP_UNRESOLVED_USERS_IS_UNSPECIFIED_START,started,user,users,AAA,,
10254,BATCH_JOB_CLEANUP_UNRESOLVED_USERS_GROUPS_START,started,batch job,BATCH_JOB,AAA,,
10041,REGISTER_GROUP,created,group,,AAA,,
16045,ACCESS_DIRECTORY,read,directory,directory,AAA,,
10257,REMOVE_UNRESOLVED_GROUP,deleted,group,,AAA,,
