vendor_action_id,vendor_action_description,event_type
26144,OC_LIST_CONFIG_RADIUS_SERVER,all_changes_event
26178,OC_RESTART_RADIUS_SERVER,all_changes_event
26147,OC_RADIUS_LIST_TRUSTED_ROOT_CERTS,all_changes_event
26145,OC_EDIT_CONFIG_RADIUS_SERVER,all_changes_event
26140,OC_EDIT_DICT_RADIUS_SERVER,all_changes_event
16176,SYSTEM_STARTUP,all_changes_event
16177,SYSTEM_SHUTDOWN,all_changes_event
16353,REGISTRY_INSTANCE_VERSION_UPDATE,all_changes_event
16008,PLUGIN_LOADED,all_changes_event
26195,OC_CHANGE_SYSTEM_TIMEZONE,all_changes_event
26090,MESSAGE_PROCESSOR_STOP,all_changes_event
16366,FIPS_ENABLED,all_changes_event
26072,ADJUDICATOR_SERVICE_STARTUP,all_changes_event
26073,ADJUDICATOR_SERVICE_SHUTDOWN,all_changes_event
16164,KM_KEY_BIND,all_changes_event
16324,UPDATE_SECURITY_QUESTIONS_LIST,all_changes_event
26156,START_RADIUS_REPLICATION_TIMER,all_changes_event
26136,OC_REBOOT_APPLIANCE,all_changes_event
26272,AUTHMGR_TELEMETRY_DATA_SEND_SUCCESS,all_changes_event
26197,GENERATE_EXPORT_SECURITY_PACKAGE,all_changes_event
16061,UPDATE_AUTHENTICATORS,all_changes_event
26185,OC_CERT_SIGNING_REQEUST,all_changes_event
16348,OC_UPDATE_IDENTITY_SOURCE,all_changes_event
16346,OC_CREATE_IDENTITY_SOURCE,all_changes_event
16154,CONF_METADATA_INSTALLED,all_changes_event
16347,OC_DELETE_IDENTITY_SOURCE,all_changes_event
16155,CONF_METADATA_REMOVED,all_changes_event
16045,ACCESS_DIRECTORY,all_changes_event
26187,OC_CERT_IMPORT,all_changes_event
16231,SMTP_CONNECT,all_changes_event
26215,DATA_EXPORT_SUCCESS,all_changes_event
16041,DELETE_AGED_JOB,all_changes_event
16057,READ_IDENTITY_SOURCE,all_changes_event
16017,REGISTRY_TOPOLOGY_READ,all_changes_event
16018,REGISTRY_TOPOLOGY_WRITE,all_changes_event
26268,CLOUD_TOKEN_RECORD_SYNC_STATUS,alerts_event
16350,CRITICAL_NOTIFICATION,alerts_event
16004,LICENSE_CHECK,alerts_event
26193,MESSAGEKEYMGR_SHUTDOWN,alerts_event
16367,FIPS_SELF_TESTS,alerts_event
26192,MESSAGEKEYMGR_STARTUP,alerts_event
26201,ADJUDICATOR_CLOCK_SETFORWARD,alerts_event
16290,STOP_SERVICE,all_changes_event
16291,START_SERVICE,all_changes_event
26196,EXPORT_DATA_TO_FILE,endpoint_filesystem_event
36001,UCM_SEND_MAIL,email_event
16230,SEND_SMTP_MESSAGE,email_event
26069,TCP_SERVER_SHUTDOWN,all_changes_event	
26068,TCP_SERVER_STARTUP,all_changes_event	
26071,UDP_SERVER_SHUTDOWN,all_changes_event
26070,UDP_SERVER_STARTUP,all_changes_event
30034,UCM_REQUEST_RETRIEVE,privileged_auth_event
16148,SESSION_READ_LIFETIME_CONFIGURATION,all_changes_event
16151,SESSION_SEARCH_LIFETIME_CONFIGURATION,all_changes_event
26250,IDENTITY_ROUTER_CHECK_FREE_DISK_SPACE_TASK_START,all_changes_event
26251,IDENTITY_ROUTER_CHECK_FREE_DISK_SPACE_TASK_SUCCESS,all_changes_event
26253,IDENTITY_ROUTER_CHECKSUM_TASK_STARTED,all_changes_event
26258,IDENTITY_ROUTER_DOWNLOAD_IMAGE_TASK_SUCCESS,all_changes_event
26264,IDENTITY_ROUTER_INSTALL_IMAGE_TASK_SUCCESS,all_changes_event
26186,OC_DOWNLOAD_SUPPORT_FILES,all_changes_event
